"Source:","C:\Hobbies\Projects\Hardware\KiCad\Transistor Tracer\NPN Tracer\NPN Tracer V1\NPN Tracer V1.kicad_sch"
"Date:","3/27/2023 7:22:19 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","44"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"ADC1, ADC2, ADC3, ADC4, ","4","10K","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Trim-potentiometer",""
"C1, C2, ","2","33u","C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","Polarized capacitor, US symbol",""
"C3, ","1","100n","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C4, C5, ","2","22u","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","Polarized capacitor",""
"C6, ","1","100n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C7, C8, C9, C10, ","4","1n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"D1, ","1","1N5817","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","20V 1A Schottky Barrier Rectifier Diode, DO-41",""
"D2, ","1","PWR","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"D3, D4, D5, D6, ","4","4.9V","D_Zener","Diode_SMD:D_SOD-323","Zener diode",""
"J1, ","1","AD3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","AD4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","AD2","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","RCSEL","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","PWR","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","AD1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","+5","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8, ","1","13.8V MAX","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","DC Barrel Jack",""
"Q1, ","1","TIP120","TIP120","Package_TO_SOT_THT:TO-220-3_Vertical","5A Ic, 60V Vce, Silicon Darlington Power NPN Transistor, TO-220",""
"R1, R3, ","2","200","R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","Resistor, US symbol",""
"R2, R7, ","2","10K","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R4, ","1","500","R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","Resistor, US symbol",""
"R5, ","1","33","R_US","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P7.62mm_Vertical","Resistor, US symbol",""
"R6, ","1","4.7K","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R8, ","1","10","R_US","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P7.62mm_Vertical","Resistor, US symbol",""
"R9, ","1","200","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R10, ","1","1K","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R11, ","1","500","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"TB1, ","1","NANO","ARDUINO_NANO","SHIELD_ARDUINO_NANO","",""
"U1, ","1","LM358","LM358","Package_DIP:DIP-8_W7.62mm_Socket","Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8",""
"U2, ","1","LM7805","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
"ZX1, ","1","16PIN ZIF","16Pin ZIF","Custom_RF:16Pin ZIF","",""
